fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
3,panel_4_mturk,Panel 4 (MTurk),false,control,-0.00246208112874781,0.00826550363635708,-0.297874302289091,0.765823095322376,-0.01866977703211504,0.01374561477461941,2579,Responded Wave 1,FALSE
3,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.00721334489450433,0.00756583724443959,0.95341000096264,0.3404717245839093,-0.00762238620031521,0.02204907598932388,2579,Responded Wave 1,FALSE
3,panel_4_mturk,Panel 4 (MTurk),false,control,0.0204797178130512,0.02377912039680006,0.8612479129298298,0.3891815803064441,-0.02614838486488249,0.0671078204909849,2579,Responded Wave 2,FALSE
3,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.00523142986911079,0.02372177547700169,0.22053281273919292,0.8254736764248941,-0.04128422605874141,0.051747085796963,2579,Responded Wave 2,FALSE
3,panel_4_mturk,Panel 4 (MTurk),false,control,0.00185537918871273,0.02438079271356595,0.07610003540534437,0.9393454145664112,-0.04595253325915701,0.04966329163658247,2579,Responded Wave 3,FALSE
3,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.01561170981460856,0.02424188436356779,0.6439973716758922,0.519634404642455,-0.03192381943748038,0.0631472390666975,2579,Responded Wave 3,FALSE
3,panel_5_lucid,Panel 5 (Lucid),false,control,0.01861788237495905,0.01783663670130016,1.043800055287438,0.29669274171027327,-0.01636055319876507,0.05359631794868319,2197,Responded Wave 1,FALSE
3,panel_5_lucid,Panel 5 (Lucid),false,factcheck,0.02285206990000881,0.017709010575557,1.2904204784625604,0.19704049515308367,-0.01187608518128897,0.05758022498130659,2197,Responded Wave 1,FALSE
3,panel_5_lucid,Panel 5 (Lucid),false,control,-0.00193515182707202,0.02361781298726514,-0.08193611441141777,0.9347049794350012,-0.0482507304757699,0.04438042682162585,2197,Responded Wave 2,FALSE
3,panel_5_lucid,Panel 5 (Lucid),false,factcheck,-0.03619474815437887,0.02314548600562097,-1.5637929635864565,0.11801021669083468,-0.08158407264575751,0.00919457633699977,2197,Responded Wave 2,FALSE
3,panel_6_mturk,Panel 6 (MTurk),false,control,0.01905510161324132,0.03059680155218756,0.6227808348117666,0.533517527053998,-0.04095904003550913,0.07906924326199177,1596,Responded Wave 1,FALSE
3,panel_6_mturk,Panel 6 (MTurk),false,factcheck,-0.0037438336856945,0.03097985868194176,-0.12084734550053965,0.90382716020687,-0.06450932330803695,0.05702165593664794,1596,Responded Wave 1,FALSE
3,panel_6_mturk,Panel 6 (MTurk),false,control,0.06027655562539345,0.02839618046027122,2.12269941408936,0.03393263223640499,0.00457882547149261,0.11597428577929428,1596,Responded Wave 2,TRUE
3,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.02109760394644124,0.0292280219992515,0.7218279754607249,0.47050598417929135,-0.03623174302415619,0.07842695091703868,1596,Responded Wave 2,FALSE
3,panel_6_mturk,Panel 6 (MTurk),false,control,0.02061596480201174,0.03051484552391721,0.6756044295178609,0.49938970246493186,-0.03923742407389753,0.08046935367792102,1596,Responded Wave 3,FALSE
3,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.01453488372093,0.0309046352624902,0.4703140353373266,0.6381949323438904,-0.04608305881409454,0.07515282625595454,1596,Responded Wave 3,FALSE
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,-0.00768913865922816,0.01563730284445976,-0.49171770449866287,0.6229641710926915,-0.03835325065829246,0.02297497333983612,2385,Responded Wave 1,FALSE
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,-0.00950335068998531,0.01592412247095849,-0.5967896006399711,0.5507045058550883,-0.04072990425828754,0.02172320287831692,2385,Responded Wave 1,FALSE
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,-0.03088706557938944,0.02071803199840923,-1.4908300934066037,0.13613834779723377,-0.07151427987066367,0.00974014871188477,2385,Responded Wave 2,FALSE
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,0.0092214857783308,0.0216589679438421,0.4257583187823395,0.6703223780798337,-0.03325086545898149,0.05169383701564309,2385,Responded Wave 2,FALSE
