name,value,treatment,misinfo_type,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
Cognitive Reflection Test,high,factcheck,Misinformation is in article form,overall,summary,66.72838639102358,5.553194514671388,12.016216290412483,2.9204068717122644e-33,55.844325143122276,77.61244763892488
Cognitive Reflection Test,low,misinformation,Misinformation is a social media post,overall,summary,29.501475705630217,8.233639103389596,3.5830421196728373,3.396158204583097e-4,13.363839601285953,45.63911180997448
Cognitive Reflection Test,low,misinformation,Misinformation is in article form,overall,summary,34.43998914735687,3.981595729939362,8.64979558029649,5.159176173049369e-18,26.636204915677254,42.24377337903648
Cognitive Reflection Test,low,factcheck,Misinformation is a social media post,overall,summary,48.91533474320709,3.6311027862599747,13.471206303578573,2.310598909272955e-41,41.7985040579745,56.03216542843968
Cognitive Reflection Test,low,factcheck,Misinformation is in article form,overall,summary,51.123300772686385,6.931696091423093,7.375294602996747,1.6398203148226404e-13,37.537426081720064,64.7091754636527
Need for Cognition,high,misinformation,Misinformation is a social media post,overall,summary,33.28005935661101,9.764475518047076,3.408279256279719,6.537395441554918e-4,14.142039013315664,52.41807969990636
Need for Cognition,high,misinformation,Misinformation is in article form,overall,summary,45.80222240138717,3.3845145328431174,13.532878041126805,1.0002935954796319e-41,39.16869581186226,52.43574899091208
Need for Cognition,high,factcheck,Misinformation is a social media post,overall,summary,63.62244723115205,4.398431682464987,14.464802871621846,2.0218340348730237e-47,55.00167954506077,72.24321491724334
Need for Cognition,high,factcheck,Misinformation is in article form,overall,summary,69.77981003280662,5.2377696746808935,13.322428126253547,1.7143960553274466e-40,59.513970111115995,80.04564995449725
Need for Cognition,low,misinformation,Misinformation is a social media post,overall,summary,29.864002782198963,7.8847006770615184,3.7875886486192805,1.521164189977808e-4,14.410273426279812,45.31773213811812
Need for Cognition,low,misinformation,Misinformation is in article form,overall,summary,34.53876721704027,4.567952068011286,7.561105436922227,3.996581075130703e-14,25.58574568063289,43.49178875344764
Need for Cognition,low,factcheck,Misinformation is a social media post,overall,summary,46.23715692537951,3.2809799154914057,14.09248398841673,4.2243707541760845e-45,39.806554457017086,52.66775939374193
Need for Cognition,low,factcheck,Misinformation is in article form,overall,summary,52.63930106204368,5.344600404796564,9.849062057998204,6.918659775847542e-23,42.16407675688422,63.114525367203136
Personality - Extraversion,high,misinformation,Misinformation is a social media post,overall,summary,28.776726604118448,8.127047601887625,3.5408586258845873,3.9882721636755206e-4,12.848006003776092,44.7054472044608
Personality - Extraversion,high,misinformation,Misinformation is in article form,overall,summary,34.18322780545799,3.534045298322438,9.672549421390917,3.9442770903964785e-22,27.2566263010129,41.10982930990308
Personality - Extraversion,high,factcheck,Misinformation is a social media post,overall,summary,46.914680762022655,3.2471625711958607,14.447900200064508,2.584454058957236e-47,40.550359070532295,53.279002453513016
Personality - Extraversion,high,factcheck,Misinformation is in article form,overall,summary,50.26601298085989,5.177803699281813,9.707979657056532,2.788085291148859e-22,40.11770421124928,60.4143217504705
Personality - Extraversion,low,misinformation,Misinformation is a social media post,overall,summary,32.518759177926164,8.655721484565309,3.7569091422260867,1.7202491785749612e-4,15.553856807968597,49.48366154788373
