fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
1,Panel 6 (MTurk),control,0.00951169515205636,0.05246152550757942,0.18130801687576087,0.8561489223532996,-0.09338933632760105,0.11241272663171376,1590,political_knowledge_pre,FALSE
1,Panel 6 (MTurk),factcheck,0.07373983777239462,0.05110560641110791,1.4428913567566457,0.14924804464660016,-0.02650161657373612,0.17398129211852537,1590,political_knowledge_pre,FALSE
1,Panel 6 (MTurk),control,0.04035347917439003,0.05994204617366495,0.6732082361265638,0.5009126578088345,-0.07722027264836691,0.15792723099714695,1590,political_interest_pre,FALSE
1,Panel 6 (MTurk),factcheck,0.06651206560462378,0.06060459608137601,1.0974756025981196,0.27259971418357204,-0.05236124943614077,0.18538538064538831,1590,political_interest_pre,FALSE
1,Panel 6 (MTurk),control,0.0361069362716648,0.07250148831814779,0.4980164836509556,0.6185412970319171,-0.10610162246858534,0.17831549501191496,1590,cognitive_reflection_pre,FALSE
1,Panel 6 (MTurk),factcheck,-0.04179071182680136,0.07503073497933668,-0.5569812402652118,0.5776186365635343,-0.18896027937845583,0.10537885572485314,1590,cognitive_reflection_pre,FALSE
1,Panel 6 (MTurk),control,0.25030949698769184,0.3185920687530877,0.7856739747708045,0.4321755752179274,-0.3745951770327813,0.8752141710081649,1590,need_for_cognition_pre,FALSE
1,Panel 6 (MTurk),factcheck,-0.39840334051322385,0.316131001545667,-1.260247614328556,0.20776497351853487,-1.0184807367956952,0.22167405576924745,1590,need_for_cognition_pre,FALSE
1,Panel 7 (Lucid),control,0.13526967653502028,0.11472972450540932,1.1790290364433198,0.238504268390834,-0.08971067372893679,0.36025002679897733,2384,lucid_pid_7n,FALSE
1,Panel 7 (Lucid),factcheck,0.06173974540311074,0.11731984865203096,0.5262514920747126,0.5987624336940536,-0.1683197335717899,0.29179922437801137,2384,lucid_pid_7n,FALSE
1,Panel 7 (Lucid),control,1.3938642010060036,0.8369262598880068,1.6654564061504336,0.09595312180270368,-0.24731435064152252,3.0350427526535295,2384,lucid_age,FALSE
1,Panel 7 (Lucid),factcheck,1.181593159315915,0.8558623448530994,1.3805878555373576,0.16753514042410825,-0.49671828920241046,2.8599046078342405,2384,lucid_age,FALSE
1,Panel 7 (Lucid),control,0.30996585443463953,0.3537765231384999,0.8761628716479049,0.3810297691414192,-0.38377560126903865,1.0037073101383176,2384,lucid_hhin,FALSE
1,Panel 7 (Lucid),factcheck,0.09224636749389058,0.3545473776151352,0.26018065093129794,0.7947468971465554,-0.6030067026663165,0.7874994376540977,2384,lucid_hhin,FALSE
1,Panel 7 (Lucid),control,0.03072529990628688,0.0438578462532657,0.7005656349118842,0.4836424954974068,-0.05527816305345616,0.11672876286602994,2384,political_knowledge_pre,FALSE
1,Panel 7 (Lucid),factcheck,0.06131586564542374,0.04394927262663427,1.3951508632765155,0.1631003031186422,-0.02486688073535509,0.1474986120262026,2384,political_knowledge_pre,FALSE
1,Panel 7 (Lucid),control,-0.00553029654016138,0.05819285650153458,-0.09503394183812829,0.9242958540341912,-0.11964413491129916,0.1085835418309764,2384,political_interest_pre,FALSE
1,Panel 7 (Lucid),factcheck,-0.02336055034074981,0.05762065766251932,-0.40541971036795754,0.685205404054506,-0.13635232992740742,0.0896312292459078,2384,political_interest_pre,FALSE
1,Panel 7 (Lucid),control,-0.03697214306626005,0.04262260816626521,-0.8674303299797272,0.3857935708110272,-0.12055335408849716,0.04660906795597706,2384,cognitive_reflection_pre,FALSE
1,Panel 7 (Lucid),factcheck,0.02838282854701971,0.04437602614209274,0.6395982473991124,0.5224952767650999,-0.05863676422032651,0.11540242131436591,2384,cognitive_reflection_pre,FALSE
1,Panel 7 (Lucid),control,0.15554955871689322,0.22450287302890137,0.6928622187247846,0.48846350893818213,-0.2846914967466847,0.5957906141804711,2384,need_for_cognition_pre,FALSE
1,Panel 7 (Lucid),factcheck,0.13812833245897962,0.22127266625527264,0.6242448956602121,0.5325264967575203,-0.2957784181460371,0.5720350830639963,2384,need_for_cognition_pre,FALSE
2,Panel 1 (Lucid),control,-0.2052515558170196,0.11907865276858956,-1.723663738587078,0.08490190795417393,-0.43876335578332737,0.02826024414928821,2318,lucid_pid_7n,FALSE
2,Panel 1 (Lucid),factcheck,-0.06773884532076008,0.11860070030619035,-0.5711504666151154,0.5679530202044096,-0.30031338628053494,0.1648356956390148,2318,lucid_pid_7n,FALSE
2,Panel 1 (Lucid),control,-0.7637398437940872,0.8641412222302512,-0.8838136917284892,0.37688844986436265,-2.458310344354019,0.9308306567658448,2318,lucid_age,FALSE
2,Panel 1 (Lucid),factcheck,-0.8818249723929947,0.8596103616508535,-1.025842651197781,0.30507279584492647,-2.5675105100759312,0.8038605652899418,2318,lucid_age,FALSE
2,Panel 1 (Lucid),control,-0.23240887846071895,0.35888144577107,-0.6475923489479372,0.5173127778374389,-0.936171059406546,0.47135330248510815,2318,lucid_hhin,FALSE
2,Panel 1 (Lucid),factcheck,-0.3863773644619107,0.35979437387719365,-1.073883841757321,0.2829865212571442,-1.0919297863984134,0.3191750574745921,2318,lucid_hhin,FALSE
2,Panel 1 (Lucid),control,0.0256161430495927,0.04548251678405248,0.5632085658587495,0.5733473433061884,-0.0635745230715764,0.1148068091707618,2318,political_knowledge_pre,FALSE
2,Panel 1 (Lucid),factcheck,0.01644339257611782,0.04484161455166877,0.3666993871768582,0.7138767328010248,-0.07149047200752312,0.10437725715975876,2318,political_knowledge_pre,FALSE
