congeniality,lucid_pid_3,treatment,topic_short_2,mu,se,lo,hi,cfac,traffic,ts2
"False claim
congenial to
Democrats",NA,NA,Trump chose Judge Barrett on basis of looks,NA,NA,NA,NA,Fact check website traffic,25274,Trump chose Judge Barrett on basis of looks (24 Oct)
"False claim
congenial to
Republicans",NA,NA,Kamala Harris imprisoned prolife activists,NA,NA,NA,NA,Fact check website traffic,40674,Kamala Harris imprisoned prolife activists (29 Oct)
"False claim
congenial to
Republicans",NA,NA,Presidential winner must be announced election night,NA,NA,NA,NA,Fact check website traffic,69522,Presidential winner must be announced election night (2 Nov)
"False claim
congenial to
Republicans",NA,NA,Wisconsin has more votes than registered voters,NA,NA,NA,NA,Fact check website traffic,392222,Wisconsin has more votes than registered voters (12 Nov)
"False claim
congenial to
Republicans",NA,NA,Antifa start West Coast wildfires (Lucid),NA,NA,NA,NA,Fact check website traffic,35131,Antifa start West Coast wildfires (Lucid) (25 Sep)
"False claim
congenial to
Republicans",NA,NA,Antifa start West Coast wildfires (MTurk),NA,NA,NA,NA,Fact check website traffic,35131,Antifa start West Coast wildfires (MTurk) (25 Sep)
"False claim
congenial to
Democrats",NA,NA,Trump holds Bible upside down,NA,NA,NA,NA,Fact check website traffic,17913,Trump holds Bible upside down (8 Oct)
"False claim
congenial to
Republicans",NA,NA,Obama failed to nominate US judges,NA,NA,NA,NA,Fact check website traffic,47103,Obama failed to nominate US judges (16 Oct)
"False claim
congenial to
Republicans",NA,NA,WHO: children to be vaccinated without parents' consent,NA,NA,NA,NA,Fact check website traffic,1285,WHO: children to be vaccinated without parents' consent (24 Oct)
"False claim
congenial to
Republicans",NA,NA,Biden and Obama plotted to have Seal Team 6 murdered,NA,NA,NA,NA,Fact check website traffic,52169,Biden and Obama plotted to have Seal Team 6 murdered (29 Oct)
"False claim
congenial to
Republicans",NA,NA,Sen Coon's daughter's photo on Hunter Biden's laptop,NA,NA,NA,NA,Fact check website traffic,49991,Sen Coon's daughter's photo on Hunter Biden's laptop (2 Nov)
"False claim
congenial to
Republicans",NA,NA,GOP voters' pens invisible to voting machines,NA,NA,NA,NA,Fact check website traffic,190623,GOP voters' pens invisible to voting machines (12 Nov)
"False claim
congenial to
Republicans",NA,NA,SARS-CoV-2 man made virus created in the lab (Lucid),NA,NA,NA,NA,Fact check website traffic,93465,SARS-CoV-2 man made virus created in the lab (Lucid) (25 Sep)
"False claim
congenial to
Republicans",NA,NA,SARS-CoV-2 man made virus created in the lab (MTurk),NA,NA,NA,NA,Fact check website traffic,93465,SARS-CoV-2 man made virus created in the lab (MTurk) (25 Sep)
"False claim
congenial to
Democrats",NA,NA,Trump responsible for all Covid deaths,NA,NA,NA,NA,Fact check website traffic,37345,Trump responsible for all Covid deaths (8 Oct)
"False claim
congenial to
Democrats",NA,NA,Judge Barrett made homophobic and racist statements,NA,NA,NA,NA,Fact check website traffic,36851,Judge Barrett made homophobic and racist statements (16 Oct)
"False claim
congenial to
Republicans",NA,NA,Hunter Biden's laptop had photos torturing children,NA,NA,NA,NA,Fact check website traffic,541519,Hunter Biden's laptop had photos torturing children (24 Oct)
"False claim
congenial to
Democrats",NA,NA,Joe Biden has never made more than $400k,NA,NA,NA,NA,Fact check website traffic,35105,Joe Biden has never made more than $400k (29 Oct)
"False claim
congenial to
Democrats",NA,NA,Trump said 'Good' to children's separation,NA,NA,NA,NA,Fact check website traffic,31266,Trump said 'Good' to children's separation (2 Nov)
"False claim
congenial to
Democrats",NA,NA,USPS fails to deliver 27% of mail ballots in South FL,NA,NA,NA,NA,Fact check website traffic,26549,USPS fails to deliver 27% of mail ballots in South FL (12 Nov)
