lucid_pid_3,target,ty2,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
Independent,w1_ft_black_lives_matter_protestors,treatmentfactcheck,overall,summary,0.4068286209898761,2.680729872935422,0.15176039372605465,0.8793759214551012,-4.847305382244184,5.660962624223937
Independent,w1_ft_chris_coons,treatmentcontrol,overall,summary,-3.577166624961807,5.221343708430095,-0.6851046061546016,0.49327791384658204,-13.810812244389595,6.6564789944659815
Independent,w1_ft_chris_coons,treatmentfactcheck,overall,summary,-5.078292872516037,5.6846582814853734,-0.8933330063226076,0.37167886742478196,-16.220018368644723,6.063432623612649
Independent,w1_ft_donald_trump,treatmentcontrol,overall,summary,-0.13290848124627413,1.2049778097199972,-0.1102995259947221,0.9121718331728399,-2.494621590467426,2.228804627974878
Independent,w1_ft_donald_trump,treatmentfactcheck,overall,summary,-0.11611055347343331,1.502560427974678,-0.07727513071134207,0.9384046745544118,-3.061074876898891,2.8288537699520244
Independent,w1_ft_hunter_biden,treatmentcontrol,overall,summary,-3.4068335126397438,4.885947724209646,-0.6972717894133498,0.4856327192424425,-12.983115082436086,6.1694480571565995
Independent,w1_ft_hunter_biden,treatmentfactcheck,overall,summary,-0.1336082857992209,2.217122322114032,-0.060262027253338485,0.951946944817717,-4.479088186462535,4.2118716148640925
Independent,w1_ft_joe_biden,treatmentcontrol,overall,summary,-1.177505019614914,1.1961122051300779,-0.9844436120329193,0.32489744363568623,-3.5218418631386514,1.1668318239088233
Independent,w1_ft_joe_biden,treatmentfactcheck,overall,summary,-0.2621819064078195,1.1781979150337047,-0.222527898804098,0.8239029575526304,-2.5714073865340628,2.047043573718424
Independent,w1_ft_kamala_harris,treatmentcontrol,overall,summary,2.2424840522711693,3.0110530222377103,0.7447507684885046,0.4564224018162962,-3.6590714268552236,8.144039531397562
Independent,w1_ft_kamala_harris,treatmentfactcheck,overall,summary,2.2941784491123745,3.50079645425764,0.6553304309715617,0.512255032156461,-4.56725651843812,9.15561341666287
Independent,w1_ft_politifact,treatmentcontrol,overall,summary,0.7656079294470903,1.3982216002231829,0.5475583622259051,0.5839951862269934,-1.9748560493963085,3.5060719082904894
Independent,w1_ft_politifact,treatmentfactcheck,overall,summary,-0.5790599561962646,1.1717153049125504,-0.49419850860400094,0.6211659929327344,-2.8755797539592303,1.7174598415667013
Independent,w1_ft_scientists,treatmentcontrol,overall,summary,-0.7532107534461624,1.9862469635539368,-0.3792130421176142,0.7045296673874615,-4.646183266413918,3.1397617595215936
Independent,w1_ft_scientists,treatmentfactcheck,overall,summary,-1.190244796885236,1.8567056982794738,-0.6410519437669538,0.5214889352289054,-4.829321095403296,2.4488315016328235
Independent,w1_ft_the_u.s._postal_service,treatmentcontrol,overall,summary,-3.252327032560963,3.789939116857429,-0.8581475670927803,0.3908109843488037,-10.68047120520106,4.175817140079134
Independent,w1_ft_the_u.s._postal_service,treatmentfactcheck,overall,summary,1.6346391804591034,4.942441805705225,0.3307351395765925,0.7408445570822205,-8.052368754408246,11.321647115326453
Independent,w1_ft_the_world_health_organization_(who),treatmentcontrol,overall,summary,-6.121640376823933,2.8411268265456435,-2.154652273748325,0.03118905515407613,-11.69014663236397,-0.5531341212838967
Independent,w1_ft_the_world_health_organization_(who),treatmentfactcheck,overall,summary,2.122496409749041,2.9227369258548155,0.7262016608382476,0.46771515396948393,-3.60596270121171,7.850955520709792
Republican,w1_ft_amy_coney_barrett,treatmentcontrol,overall,summary,-1.1725079393074664,1.1925533044837084,-0.9831912208025617,0.325513334807007,-3.5098694657397633,1.1648535871248304
Republican,w1_ft_amy_coney_barrett,treatmentfactcheck,overall,summary,1.0263520793711327,0.9693765171332328,1.0587754718944455,0.28970204680985234,-0.8735909816688776,2.926295140411143
Republican,w1_ft_anthony_fauci,treatmentcontrol,overall,summary,0.4420623230188532,0.9543864008745538,0.4631900901079149,0.6432281188866632,-1.428500650030078,2.312625296067784
Republican,w1_ft_anthony_fauci,treatmentfactcheck,overall,summary,1.0257666692661374,0.9138841694053536,1.122425252134068,0.26168167264982883,-0.7654133888096566,2.8169467273419313
