fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
3,panel_2_mturk,Panel 2 (MTurk),false,control,-0.006275082710202892,0.026995525565833563,-0.23244899214501108,0.8162124360213014,-0.059216506800670116,0.046666341380264334,2056,Responded Wave 2
3,panel_2_mturk,Panel 2 (MTurk),false,factcheck,-0.013651406815034331,0.02726776734289641,-0.5006426321365358,0.6166762401323826,-0.06712672928578974,0.039823915655721076,2056,Responded Wave 2
3,panel_3_lucid,Panel 3 (Lucid),false,control,0.011573245414380155,0.016903435958231898,0.6846682202942317,0.49361977881530994,-0.021573687790171273,0.044720178618931586,2387,Responded Wave 1
3,panel_3_lucid,Panel 3 (Lucid),false,factcheck,-0.007795440722413097,0.01794215172020694,-0.4344763573498077,0.6639818309804943,-0.042979252231812,0.027388370786985812,2387,Responded Wave 1
3,panel_3_lucid,Panel 3 (Lucid),false,control,-0.002284890992579374,0.02338249744350972,-0.09771800459294357,0.9221644225243434,-0.048136993655657254,0.0435672116704985,2387,Responded Wave 2
3,panel_3_lucid,Panel 3 (Lucid),false,factcheck,-0.013945712756870742,0.023999485560232563,-0.5810838203956736,0.5612388230965691,-0.061007703394414206,0.03311627788067273,2387,Responded Wave 2
3,panel_4_mturk,Panel 4 (MTurk),false,control,-0.0024620811287478115,0.008265503636357086,-0.297874302289091,0.765823095322376,-0.018669777032115042,0.013745614774619417,2579,Responded Wave 1
3,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.007213344894504335,0.007565837244439598,0.9534100009626401,0.3404717245839093,-0.007622386200315214,0.022049075989323885,2579,Responded Wave 1
3,panel_4_mturk,Panel 4 (MTurk),false,control,0.020479717813051204,0.023779120396800066,0.8612479129298298,0.3891815803064441,-0.026148384864882496,0.0671078204909849,2579,Responded Wave 2
3,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.005231429869110792,0.02372177547700169,0.22053281273919292,0.8254736764248941,-0.041284226058741415,0.051747085796963,2579,Responded Wave 2
3,panel_4_mturk,Panel 4 (MTurk),false,control,0.001855379188712731,0.024380792713565955,0.07610003540534437,0.9393454145664111,-0.04595253325915701,0.04966329163658247,2579,Responded Wave 3
3,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.015611709814608564,0.02424188436356779,0.6439973716758922,0.519634404642455,-0.03192381943748038,0.0631472390666975,2579,Responded Wave 3
3,panel_5_lucid,Panel 5 (Lucid),false,control,0.018617882374959056,0.017836636701300163,1.043800055287438,0.29669274171027327,-0.016360553198765077,0.05359631794868319,2197,Responded Wave 1
3,panel_5_lucid,Panel 5 (Lucid),false,factcheck,0.02285206990000881,0.017709010575557002,1.2904204784625604,0.19704049515308367,-0.011876085181288975,0.05758022498130659,2197,Responded Wave 1
3,panel_5_lucid,Panel 5 (Lucid),false,control,-0.001935151827072025,0.02361781298726514,-0.08193611441141777,0.9347049794350011,-0.0482507304757699,0.04438042682162585,2197,Responded Wave 2
3,panel_5_lucid,Panel 5 (Lucid),false,factcheck,-0.03619474815437887,0.023145486005620972,-1.5637929635864563,0.11801021669083467,-0.08158407264575751,0.009194576336999771,2197,Responded Wave 2
3,panel_6_mturk,Panel 6 (MTurk),false,control,0.019055101613241324,0.03059680155218756,0.6227808348117666,0.533517527053998,-0.04095904003550913,0.07906924326199177,1596,Responded Wave 1
3,panel_6_mturk,Panel 6 (MTurk),false,factcheck,-0.003743833685694508,0.03097985868194176,-0.12084734550053963,0.90382716020687,-0.06450932330803695,0.05702165593664794,1596,Responded Wave 1
3,panel_6_mturk,Panel 6 (MTurk),false,control,0.06027655562539345,0.02839618046027122,2.12269941408936,0.03393263223640499,0.0045788254714926105,0.11597428577929428,1596,Responded Wave 2
3,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.021097603946441244,0.029228021999251508,0.7218279754607249,0.47050598417929135,-0.03623174302415619,0.07842695091703868,1596,Responded Wave 2
3,panel_6_mturk,Panel 6 (MTurk),false,control,0.020615964802011742,0.030514845523917214,0.6756044295178609,0.49938970246493186,-0.039237424073897534,0.08046935367792102,1596,Responded Wave 3
3,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.014534883720930005,0.0309046352624902,0.4703140353373266,0.6381949323438904,-0.04608305881409454,0.07515282625595454,1596,Responded Wave 3
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,-0.007689138659228165,0.01563730284445976,-0.49171770449866287,0.6229641710926915,-0.03835325065829246,0.022974973339836127,2385,Responded Wave 1
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,-0.00950335068998531,0.015924122470958493,-0.5967896006399711,0.5507045058550883,-0.04072990425828754,0.021723202878316927,2385,Responded Wave 1
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,-0.030887065579389444,0.020718031998409235,-1.4908300934066037,0.13613834779723377,-0.07151427987066367,0.009740148711884777,2385,Responded Wave 2
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,0.0092214857783308,0.021658967943842106,0.42575831878233955,0.6703223780798337,-0.033250865458981496,0.05169383701564309,2385,Responded Wave 2
