fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
2,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-12.179842769889238,4.196326273333962,-2.902501372995577,0.0042018994175485125,-20.464527857546237,-3.895157682232238,167,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-7.5570324981821635,4.660187994024122,-1.6216153742880628,0.10693133247508134,-16.763178229503836,1.649113233139511,154,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentfactcheck,-5.111400453326806,5.105274764774416,-1.0011998744111985,0.31829063508395594,-15.196294524162592,4.973493617508981,155,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentfactcheck,2.8333685975979335,6.214443205160302,0.45593281715812967,0.6492762611714378,-9.47292082626401,15.139658021459878,118,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentfactcheck,-1.9090274421124966,6.593629966034879,-0.289526020105205,0.7727094237613688,-14.972197628068757,11.154142743843765,113,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentfactcheck,1.1830156976466655,8.613540008460266,0.13734372818663418,0.8910625349576724,-15.926723393829553,18.292754789122885,91,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentfactcheck,-0.6529773265143815,3.685751441455486,-0.17716260493586722,0.8595030732247193,-7.906880606662881,6.600925953634118,293,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentfactcheck,0.07844367692403742,3.1520762769152997,0.024886351100870046,0.98016061036794,-6.122184604101997,6.279071957950072,331,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentfactcheck,-13.90184694587295,3.978551040009265,-3.4941984672491664,5.361725877519245e-4,-21.726567633138995,-6.077126258606907,352,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentfactcheck,0.36764337492304533,3.3434467987300294,0.10995939132714495,0.9125109401729814,-6.210427541807576,6.945714291653667,318,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentfactcheck,-19.429742526051808,5.071665818784017,-3.831037615705974,1.7465262742402245e-4,-29.43547959715586,-9.424005454947753,185,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentfactcheck,-11.237190132408244,4.042161558491403,-2.7799952994956834,0.006027300712445265,-19.214534968754716,-3.2598452960617728,176,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-0.9317691683024668,1.916768521730345,-0.486114602644518,0.6270698380724935,-4.696435959660322,2.832897623055388,579,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-2.237050254916369,3.0833113215255503,-0.7255349919739953,0.4685524260868511,-8.29875585641965,3.824655346586913,396,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentfactcheck,-11.753997806557745,5.504734043379441,-2.1352526232751083,0.034481168458682585,-22.637152722744084,-0.8708428903714047,140,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentfactcheck,5.574425556194995,5.527535765986352,1.0084829465052363,0.3151105652582127,-5.36193933433649,16.510790446726478,129,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-27.556365646136573,4.220829728939242,-6.528660812162614,5.77819660750154e-10,-35.88151539393682,-19.231215898336327,192,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-17.00681010699274,4.565820057136823,-3.724809540053913,2.805646049469227e-4,-26.03203099108645,-7.981589222899032,143,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentfactcheck,-12.705674565080532,5.236744287720001,-2.426254532778111,0.016426148306095793,-23.05187845585021,-2.3594706743108524,152,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentfactcheck,-3.102310363708554,6.439886367794601,-0.4817337118280503,0.630858149078086,-15.8507086348624,9.646087907445292,122,outcome_w1
