term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,dv,fc,topic_short_2
treatmentcontrol,-0.4212630842425726,1.874335157404011,0.22475333857901367,0.8221960020477541,-4.097298812181241,3.254772643696096,1849,w1_ft_barack_obama,w1_ft_barack_obama,2,Biden and Obama plotted to have Seal Team 6 murdered
treatmentfactcheck,3.013261920020583,1.4602104770952014,2.0635805367010303,0.03919677936018781,0.1494273155697905,5.877096524471375,1849,w1_ft_barack_obama,w1_ft_barack_obama,2,Biden and Obama plotted to have Seal Team 6 murdered
treatmentcontrol,0.4732810023460539,2.3834855041690868,-0.19856676347232313,0.8426530684217237,-4.205478570122268,5.152040574814376,785,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop
treatmentfactcheck,2.2701385546620485,2.4069225992272925,0.9431705678407953,0.3458838423745251,-2.4546278144335756,6.994904923757673,785,w1_ft_joe_biden,w1_ft_joe_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop
treatmentcontrol,2.7053385057185153,2.1979600729567874,-1.2308406048883231,0.21876177062772645,-1.6094285037635556,7.020105515200586,763,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop
treatmentfactcheck,4.482540596579175,2.1482904008892025,2.086561758467942,0.03725923299985504,0.2652790263659366,8.699802166792413,763,w1_ft_hunter_biden,w1_ft_hunter_biden,2,Sen Coon's daughter's photo on Hunter Biden's laptop
treatmentcontrol,-1.7170913150961051,2.076592308730525,0.8268793580121694,0.40858091814335284,-5.794029121949803,2.3598464917575925,716,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop
treatmentfactcheck,2.2500884574139723,2.0754607141536496,1.0841392670405394,0.278667975169201,-1.824627709355104,6.324804624183049,716,w1_ft_chris_coons,w1_ft_chris_coons,2,Sen Coon's daughter's photo on Hunter Biden's laptop
treatmentcontrol,-0.7902918161583894,1.2180263673891254,0.6488298096964868,0.5165244003097661,-3.179054752817847,1.598471120501068,1960,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid)
treatmentfactcheck,-1.9149928473824505,1.2547271693843332,-1.5262225080549543,0.12711580206026632,-4.375732481672642,0.5457467869077417,1960,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (Lucid)
treatmentcontrol,-1.7677716309853504,0.9916733116862804,1.782614909721995,0.07479990181208925,-3.712586706434606,0.17704344446390508,2010,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (MTurk)
treatmentfactcheck,0.47700618520883925,1.0139073259203553,0.4704632987791521,0.6380750940983637,-1.5114130142605064,2.465425384678185,2010,w1_ft_scientists,w1_ft_scientists,3,SARS-CoV-2 man made virus created in the lab (MTurk)
treatmentcontrol,-1.0208634522318216,1.4941339629789363,0.6832476053194524,0.49452985368164304,-3.9510926339740613,1.909365729510418,1992,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump responsible for all Covid deaths
treatmentfactcheck,1.097562992730319,1.5331012686480932,0.7159103023234487,0.47413064718629827,-1.909087138561839,4.104213124022477,1992,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump responsible for all Covid deaths
treatmentcontrol,-0.9524962097604622,1.4930019694430885,0.6379738468233617,0.5235661928582384,-3.8805578152093405,1.9755653956884158,1935,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,3,Judge Barrett made homophobic and racist statements
treatmentfactcheck,2.9171634351459383,1.5150350049393706,1.9254759300183157,0.05431624034844284,-0.05410915502268576,5.8884360253145624,1935,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,3,Judge Barrett made homophobic and racist statements
treatmentcontrol,1.1315040829647616,1.2384493104697285,-0.9136458580897397,0.3609931570039211,-1.2970156352965339,3.560023801226057,2442,w1_ft_hunter_biden,w1_ft_hunter_biden,3,Hunter Biden's laptop had photos torturing children
treatmentfactcheck,0.048918822032834305,1.2301409571594544,0.03976684277368818,0.9682822616382101,-2.3633087479187096,2.461146391984378,2442,w1_ft_hunter_biden,w1_ft_hunter_biden,3,Hunter Biden's laptop had photos torturing children
treatmentcontrol,0.8027920043311486,1.3068844812068845,-0.6142792388121286,0.5390870523980253,-1.7599027077203488,3.365486716382646,2485,w1_ft_joe_biden,w1_ft_joe_biden,3,Hunter Biden's laptop had photos torturing children
treatmentfactcheck,-0.8159389076484458,1.316067320624007,-0.6199826519980546,0.5353260531861548,-3.3966404247039677,1.764762609407076,2485,w1_ft_joe_biden,w1_ft_joe_biden,3,Hunter Biden's laptop had photos torturing children
treatmentcontrol,-0.020240274838834015,2.257681092996248,0.008965072570091126,0.9928492719402751,-4.452020920766648,4.4115403710889805,788,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump said 'Good' to children's separation
treatmentfactcheck,-3.055419366729906,2.2698220263543387,-1.3461052590265634,0.17865568512940863,-7.511032410265514,1.4001936768057024,788,w1_ft_donald_trump,w1_ft_donald_trump,3,Trump said 'Good' to children's separation
treatmentcontrol,-0.6884766864515502,1.4443554100970417,0.47666708736549385,0.6336509656019094,-3.5210652621145164,2.1441118892114157,2012,w1_ft_the_u.s._postal_service,w1_ft_the_u.s._postal_service,3,USPS fails to deliver 27% of mail ballots in South FL
treatmentfactcheck,0.07406899097435415,1.460520021698183,0.05071412228107102,0.9595583571521376,-2.79022071159362,2.9383586935423285,2012,w1_ft_the_u.s._postal_service,w1_ft_the_u.s._postal_service,3,USPS fails to deliver 27% of mail ballots in South FL
