fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
2,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentcontrol,17.403043091249486,3.0011060734800123,-5.798876369294513,9.847538674784383e-9,11.51145015088662,23.294636031612352,748,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentfactcheck,-14.806630034662172,3.0639735811265356,-4.832492723131835,1.636507567450665e-6,-20.821640726733815,-8.79161934259053,748,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentcontrol,2.7485078801065828,2.8087459260955803,-0.9785534015628341,0.3280666052618899,-2.76402963264102,8.261045392854186,890,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentfactcheck,-7.671200555555671,2.77370360787714,-2.7656886387463873,0.005797867412143068,-13.11496285730321,-2.227438253808131,890,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentcontrol,5.719918288167929,2.9865152956195455,-1.9152482816872183,0.05580424053260917,-0.142092312872788,11.581928889208648,830,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentfactcheck,-9.04905579481569,2.882347490455276,-3.1394742739316146,0.0017524023393192946,-14.70660309407599,-3.3915084955553896,830,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentcontrol,4.1059495342990715,2.636473296168662,-1.5573643549759675,0.11974767845121016,-1.0686420138193817,9.280541082417525,870,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentfactcheck,-7.014567579776575,2.6511747068667235,-2.6458337738393345,0.008296077277601966,-12.218013505314348,-1.8111216542388018,870,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentcontrol,0.6390516090585495,2.0057872854639553,-0.3186038787312043,0.7500905164499246,-3.2967734266276834,4.574876644744783,1046,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentfactcheck,-0.12523099064782947,1.941808958536688,-0.06449192135883505,0.9485908621056298,-3.9355155452040242,3.6850535639083657,1046,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentcontrol,3.9708282813493057,2.944804085263605,-1.348418491138386,0.17784251588450398,-1.8081828763942722,9.749839439092884,958,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentfactcheck,-15.741563176666668,2.9047313655756493,-5.419283642963335,7.572627521784436e-8,-21.441933892638005,-10.041192460695331,958,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentcontrol,-2.1471711372874336,2.6435503352157714,0.8122300940080937,0.4168765625665882,-7.335482398343311,3.0411401237684434,891,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentfactcheck,-0.779479839691677,2.516243722980209,-0.3097791492027928,0.7568013433880663,-5.717935321165914,4.158975641782559,891,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentcontrol,3.1009683725190653,2.7536451900939762,-1.1261321479159905,0.26041486353103965,-2.3034681950314004,8.505404940069532,885,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentfactcheck,-19.66256881554561,2.862791879257327,-6.868319334707113,1.2232604320424209e-11,-25.281221927864994,-14.04391570322623,885,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentcontrol,-0.9468034992579832,2.574968981135984,0.36769510863788635,0.713193213676682,-6.000932328312537,4.10732532979657,840,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentfactcheck,-9.119118906352352,2.4546259801215338,-3.715074712075216,2.1657920971352161e-4,-13.93703944114864,-4.3011983715560635,840,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentcontrol,3.0587217216418736,1.5980991338760249,-1.913974957375303,0.05583397948551498,-0.07629743080630869,6.1937408740900555,1354,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-4.17371670351809,1.6524292903178424,-2.52580653706234,0.011656593925264823,-7.415316278538366,-0.9321171284978136,1354,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentcontrol,3.678833415359505,2.545512309259732,-1.445223188266317,0.14873721256754804,-1.3168800121863597,8.67454684290537,916,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-4.533356957209494,2.4756998384795104,-1.8311415975184318,0.06740409224003129,-9.392059419843415,0.3253455054244263,916,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentcontrol,18.022257731532928,3.03666351255547,-5.934887964049234,4.361043926000029e-9,12.061577889709252,23.982937573356605,808,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentfactcheck,-24.33947316876173,3.0419678333227687,-8.001226345045046,4.2684065795448976e-15,-30.310564884585105,-18.368381452938358,808,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentcontrol,2.6784825787157063,2.8242300429119287,-0.9483939119754037,0.3432053352112655,-2.8650000343857513,8.221965191817164,829,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentfactcheck,-10.06106578864587,2.9215494396569155,-3.4437431220836587,6.024966972309792e-4,-15.79556980424509,-4.326561773046648,829,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentcontrol,5.7112478907281234,4.195804154286448,-1.3611807607591724,0.1742589643529645,-2.538514993347685,13.961010774803931,382,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-34.17637464992533,4.126359304870669,-8.282452429574963,2.057979049540219e-15,-42.28959552199725,-26.063153777853408,382,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentcontrol,-10.250534202764081,3.7158413421895156,2.7586038419832195,0.00613055534195826,-17.56042211131586,-2.9406462942123053,328,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-4.97583658622326,4.209434907913205,-1.1820675922246278,0.23803512197341598,-13.256733024352489,3.305059851905969,328,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentcontrol,3.607990639870345,2.552138273617668,-1.4137128372578347,0.15773873897607446,-1.3998050202181958,8.615786299958886,1064,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentfactcheck,-13.863755251729579,2.708884913224048,-5.1178827066629715,3.6645369026895106e-7,-19.179118550166184,-8.548391953292974,1064,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentcontrol,4.3767735892201864,2.938541293701453,-1.489437496965409,0.13678979665886903,-1.3919092163331763,10.14545639477355,755,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentfactcheck,-11.856969002396353,3.054433663595577,-3.8818878745720493,1.1271694841957754e-4,-17.853161396784163,-5.860776608008542,755,outcome_w1
