fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,Panel 6 (MTurk),factcheck,-0.02043422733078375,0.7077858739661543,-0.02887063458370306,0.976971389209462,-1.4087258523489246,1.367857397687357,1590,lucid_age
1,Panel 6 (MTurk),control,-8.033617599801542e-4,0.011920704725634015,-0.06739213649446606,0.9462780021745965,-0.024185312634720634,0.022578589114760326,1590,race_asian
1,Panel 6 (MTurk),factcheck,0.00850305841231431,0.012831730448439743,0.6626587463383186,0.5076451796284653,-0.01666583033116325,0.033671947155791866,1590,race_asian
1,Panel 6 (MTurk),control,-0.013348164627363747,0.017379313029018385,-0.7680490365226867,0.4425721015608355,-0.047436941493668706,0.020740612238941213,1590,race_black
1,Panel 6 (MTurk),factcheck,-0.01976204880016147,0.017419360718998213,-1.134487603704551,0.2567610745010016,-0.05392937749216022,0.014405279891837285,1590,race_black
1,Panel 6 (MTurk),control,0.03924113212211064,0.022353211586535075,1.7555030949444579,0.07936584057133038,-0.004603733365172412,0.0830859976093937,1590,race_hispanic
1,Panel 6 (MTurk),factcheck,-0.0072595281306714055,0.021468364861816733,-0.3381500257424392,0.7352947756244803,-0.04936880473078496,0.03484974846944215,1590,race_hispanic
1,Panel 6 (MTurk),control,-0.008527994067482265,0.007863463100815909,-1.0845086901466359,0.2783037287120776,-0.023951839566585763,0.006895851431621233,1590,race_other
1,Panel 6 (MTurk),factcheck,-0.003528937285743031,0.008559129846313825,-0.412300940528767,0.680174440518226,-0.02031730325933196,0.0132594286878459,1590,race_other
1,Panel 6 (MTurk),control,-0.016561611667285328,0.028104222034273964,-0.5892926567078759,0.5557486869926758,-0.07168683740709514,0.03856361407252449,1590,race_white
1,Panel 6 (MTurk),factcheck,0.02204745580426165,0.028163251312200852,0.7828448342081256,0.43383481402094615,-0.03319355333161618,0.07728846494013948,1590,race_white
